timestamp,vehicle
1679896800000,137
1679900400000,634
1679904000000,1334
1679907600000,1123
1679911200000,990
1679914800000,937
1679918400000,1081
1679922000000,1256
1679925600000,1163
1679929200000,1129
1679932800000,1272
1679936400000,1386
1679940000000,1429
1679943600000,1298
1679947200000,991
1679950800000,647
1679954400000,463
1679958000000,309
1679961600000,196
1679965200000,62
1679968800000,48
1679972400000,34
1679976000000,27
1679979600000,50
1679983200000,115
1679986800000,702
1679990400000,1293
1679994000000,1094
1679997600000,998
1680001200000,827
1680004800000,515
1680008400000,1191
1680012000000,1169
1680015600000,1136
1680019200000,1226
1680022800000,1378
1680026400000,1375
1680030000000,1368
1680033600000,1043
1680037200000,667
1680040800000,503
1680044400000,341
1680048000000,206
1680051600000,91
1680055200000,53
1680058800000,30
1680062400000,35
1680066000000,52
1680069600000,121
1680073200000,652
1680076800000,1253
1680080400000,1105
1680084000000,921
1680087600000,908
1680091200000,1136
1680094800000,1174
1680098400000,1058
1680102000000,1185
1680105600000,1218
1680109200000,1415
1680112800000,1430
1680116400000,1363
1680120000000,1002
1680123600000,693
1680127200000,505
1680130800000,352
1680134400000,227
1680138000000,71
1680141600000,47
1680145200000,32
1680148800000,31
1680152400000,52
1680156000000,113
1680159600000,637
1680163200000,1304
1680166800000,1168
1680170400000,958
1680174000000,940
1680177600000,1024
1680181200000,1199
1680184800000,1118
1680188400000,742
1680192000000,597
1680195600000,1283
1680199200000,1356
1680202800000,1350
1680206400000,999
1680210000000,645
1680213600000,568
1680217200000,378
1680220800000,464
1680224400000,119
1680228000000,69
1680231600000,55
1680235200000,64
1680238800000,71
1680242400000,112
1680246000000,642
1680249600000,1245
1680253200000,601
1680256800000,933
1680260400000,982
1680264000000,1171
1680267600000,1295
1680271200000,1149
1680274800000,1260
1680278400000,1267
1680282000000,1504
1680285600000,1511
1680289200000,1371
1680292800000,1172
1680296400000,817
1680300000000,660
1680303600000,573
1680307200000,416
1680310800000,233
1680314400000,131
1680318000000,80
1680321600000,79
1680325200000,76
1680328800000,112
1680332400000,271
1680336000000,460
1680339600000,618
1680343200000,666
1680346800000,833
1680350400000,791
1680354000000,768
1680357600000,749
1680361200000,870
